Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
Unlock!: Star Wars Escape Game,G6,,,,,,,,,,,,,,7,1,1,3,12,,,,,,,,,,,,,,
Unlock!: El juego de los Escape Room – En busca de la Máscara de Hierro,G6,,,,,ok,15/07/2025,,,,,,,,,2,,1,3,,,,,,,,,,,,,,
Unlock! Kids: Detective Stories,Z5,,Spider,23 oct,,,,,,,,,,,,2,2,3,7,,,,,,,,,,,,,,
Unmatched: Battle of Legends Volumen Uno,H5,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Unmatched: Beowulf vs Caperucita Roja,H3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Unmatched: Houdini vs El Genio,H3,,,,,,,,,,,,,,,3,,1,4,,,,,,,,,,,,,,
Urbify,J6,26 MAR 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Utopia,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Valparaiso,H1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Vamos a pegarnos con espadas de mentira,Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Vampir Mau Mau,*,,,,,ok,30-agosto,,1,1,,1,1,,,,,,4,,,,,,,,,,,,,,
Vampir Mau Mau,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasco da Gama,E2,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Veggies,COL 0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Velocipuzzle,COL 7,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Venetia,K1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Veracruz 1631,I6,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Verbalia,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Verdant (PnP),N4,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Via Appia,C1,,,,,ok,23-julio,,1,,,,,,1,,,,2,,,,,,,,,,,,,,
Viaje al centro de la Tierra,COL 1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Viento del Norte,I1,,,,,ok,,,,1,,2,,1,1,,,,5,,,,,,,,,,,,,,
Villa Paletti,Z3,,,,,ok,7-octubre,,2,1,2,4,1,1,,,1,,12,,,,,,,,,,,,,,
Villagers,COL 0,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Villainous,C3,,,,,,,,,,,,,5,4,,1,,10,,,,,,,,,,,,,,
Viral,D1,,,,,,,,,,,2,1,2,,,,,5,,,,,,,,,,,,,,
Viral: Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virrey,D2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Virus!,COL 0,,,,,ok,,,,4,3,3,5,1,,,,,16,,,,,,,,,,,,,,
Virus!,COL 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virus! 2 Evolution,COL 0,,,,,,,,,,,,2,,,1,1,,4,,,,,,,,,,,,,,
Virus! Marvel,COL 0,24 NOV 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Viticulture: Essential Edition,J2,,,,,,,,,,,,5,2,2,,1,,10,,,,,,,,,,,,,,
Viticulture: Visitantes del Páramo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viticulture: Tuscany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volfyirion,COL 0,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
 Volfyirion Guilds,COL 0,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Vom Kap Bis Kairo,COL 5,,,,,faltan las reglas,,1,1,,,,,,,,,1,3,,,,,,,,,,,,,,
Von Manstein's Triumph,C6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Votes for Women,C5,26 ABR 2025,ericplacton,3 oct,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Walkie Talkie,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Walking on the Moon,E6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Walli Laraña,Z2,,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,
Wanted 7,H6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Warchest (PNP),N4,,,,,,,,,,,,,1,2,,,1,4,,,,,,,,,,,,,,
Warcraft: The Board Game,*,,,,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,
Warehouse 51,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Warhammer Diskwars,B2,,,,,,,,2,1,1,,,,,,,,4,,,,,,,,,,,,,,
Water Lily,Z4,,,,,ok,17-mayo,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Waterloo: 1815 Napoleon's Last Battle,C6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Watson & Holmes: Diarios del 221B,G5,,,,,ok,28-marzo,,,4,3,1,,1,,,,,9,,,,,,,,,,,,,,
Weather Machine,K4,7 SEP 2024,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Welcome to the Moon,I5,,,,,,,,,,,,,,,5,2,2,9,,,,,,,,,,,,,,
Western Legends,K5,,,,,,,,,,,,,,2,1,,,3,,,,,,,,,,,,,,
"Western Legends: El bueno, el guapo y el malo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Legends: Sube la apuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Legends: Un puñado de extras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Legends: Un salvaje montón de extras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whoosh: Cazarrecompensa,Z2,,,,,,,,,,,1,3,1,,,,1,6,,,,,,,,,,,,,,
Wingspan,H3,,,,,,,,,,,,,5,2,1,5,2,15,,,,,,,,,,,,,,
Winner's Circle,G1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Winter Kingdom,J5,22 JUL 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Wishland,G1,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Wizard,COL 5,,,,,ok,6-noviembre,,,,,1,,1,,,2,,4,,,,,,,,,,,,,,
Wizardry,Y5,,,,,,,,,,,5,4,,,,,,9,,,,,,,,,,,,,,
Worm Up!,Novedades,15 MAY 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
XCOM,B4,,,,,,,,2,1,2,,,1,2,,1,,9,,,,,,,,,,,,,,
Xia: Leyendas de un sistema a la deriva,A2,,,,,,,,,,,1,1,1,,,,,3,,,,,,,,,,,,,,
Yangtze,M6,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,
Yokai Pagoda,COL 3,ENE 2024,TrujiLand,18 oct,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
Yokai Sketch,COL 0,20 JUL 2023,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Yummy Kitty,COL 6,ENE 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Zampa La Granja,COL 6,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Zer-pien-tez,Y6,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Zhanguo: El Primer Imperio,E2,05 OCT 2024,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Zicke Zacke,COL 7,,,,,,,,1,,2,,,,,,,,3,,,,,,,,,,,,,,
Zombie 15',A3,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,
Zombicide: Black Plague,A3,,,,,,,,,8,1,1,1,1,,,3,,15,,,,,,,,,,,,,,
Zombicide Seasons 2: Prison Outbreak,A3,,,,,,,,2,,1,,,,1,,,,4,,,,,,,,,,,,,,
Zoop,COL 5,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Zorros al corral,Y5,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Zumos,*,,,,,,,,,,,,,2,2,,,,4,,,,,,,,,,,,,,
Zumos: On the Rocks,COL 1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6741,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,97,521,482,591,725,1196,762,576,488,650,641,6729,,,,,,,,,,,,,,
